id	date	name	location	distance	category	race_type	created_at	race_website	verified	series
109	2020-07-05	18. Rakvere Rattamaraton	Rakvere		C	MTB	2025-01-31 19:25:19.276188	https://www.rattamaratonid.ee/		Bosch
259	2020-07-18	17. Kullamaa Rattamaraton	Kullamaa		C	MTB	2025-04-23 05:24:42.496613	https://estoniancup.ee		Estonian Cup
110	2020-07-26	Škoda Laagri 20. Rakke Rattamaraton	Rakke		C	MTB	2025-01-31 19:25:19.276188	https://www.rattamaratonid.ee/		Bosch
141	2020-07-26	Škoda Laagri 20. Rakke Rattamaraton - XXL-sõit	Rakke		B	MTB	2025-02-05 12:30:44.011796	https://www.rattamaratonid.ee/		Bosch
111	2020-08-02	20. Mulgi Rattamaraton	Mulgi		C	MTB	2025-01-31 19:25:19.276188	https://www.rattamaratonid.ee/		Bosch
260	2020-08-08	20. Elva Rattamaraton	Elva		C	MTB	2025-04-23 05:24:42.496613	https://estoniancup.ee		Estonian Cup
142	2020-08-23	22. Rõuge Rattamaraton - XXL-sõit	Rõuge		C	MTB	2025-02-05 12:30:44.011796	https://www.rattamaratonid.ee/		Bosch
112	2020-08-23	22. Rõuge Rattamaraton	Rõuge		C	MTB	2025-01-31 19:25:19.276188	https://www.rattamaratonid.ee/		Bosch
261	2020-08-29	21. Jõulumäe Rattamaraton	Jõulumäe		C	MTB	2025-04-23 05:24:42.496613	https://estoniancup.ee		Estonian Cup
113	2020-09-05	23. Tallinna Rattamaraton	Tallinn		C	MTB	2025-01-31 19:25:19.276188	https://www.rattamaratonid.ee/		Bosch
114	2020-09-12	6. Alutaguse Rattamaraton	Alutaguse		C	MTB	2025-01-31 19:25:19.276188	https://www.rattamaratonid.ee/		Bosch
32	2020-09-20	23. Tartu Rattamaraton	Otepää	89	B	MTB	2025-01-29 12:53:02.712682	https://tartumaraton.ee/		
127	2020-12-31	Bosch MTB Marathon Series GC 2020	Estonia		B	GC	2025-02-03 15:01:15.826176	https://www.rattamaratonid.ee/		Bosch
